Confidence Set Size (Mean),Confidence Risk (Mean),Localization Set Size (Mean),Localization Risk (Mean),Classification Set Size (Mean),Classification Risk (Mean),Global Risk (Mean),Confidence Alpha,Localization Alpha,Classification Alpha,Global Alpha,Matching Function,Confidence Method,Localization Method,Classification Prediction Set,Localization Prediction Set
18.855199813842773,0.0124000003561377,6.247283458709717,0.046399999409914,69.88214874267578,0.0517251715064048,0.0942870751023292,0.02,0.05,0.05,0.1,mix,box_count_threshold,thresholded,lac,additive
18.855199813842773,0.0124000003561377,6.637406349182129,0.0520000010728836,69.88214874267578,0.0517251715064048,0.1021192967891693,0.02,0.05,0.05,0.1,mix,box_count_threshold,thresholded,lac,multiplicative
18.855199813842773,0.0124000003561377,6.247283458709717,0.046399999409914,40.7515869140625,0.041781697422266,0.085180751979351,0.02,0.05,0.05,0.1,mix,box_count_threshold,thresholded,aps,additive
18.855199813842773,0.0124000003561377,6.637406349182129,0.0520000010728836,40.7515869140625,0.041781697422266,0.0928605124354362,0.02,0.05,0.05,0.1,mix,box_count_threshold,thresholded,aps,multiplicative
18.855199813842773,0.0124000003561377,4.343535900115967,0.0477016232907772,69.88226318359375,0.0517251715064048,0.0920161455869674,0.02,0.05,0.05,0.1,mix,box_count_threshold,pixelwise,lac,additive
18.855199813842773,0.0124000003561377,4.1814494132995605,0.0516521744430065,69.88226318359375,0.0517251715064048,0.0979911014437675,0.02,0.05,0.05,0.1,mix,box_count_threshold,pixelwise,lac,multiplicative
18.855199813842773,0.0124000003561377,4.343535900115967,0.0477016232907772,40.7515869140625,0.041781697422266,0.0815777331590652,0.02,0.05,0.05,0.1,mix,box_count_threshold,pixelwise,aps,additive
18.855199813842773,0.0124000003561377,4.1814494132995605,0.0516521744430065,40.7515869140625,0.041781697422266,0.088518351316452,0.02,0.05,0.05,0.1,mix,box_count_threshold,pixelwise,aps,multiplicative
18.855199813842773,0.0124000003561377,6.12105131149292,0.0432265438139438,69.88226318359375,0.0517251715064048,0.0883220061659812,0.02,0.05,0.05,0.1,mix,box_count_threshold,boxwise,lac,additive
18.855199813842773,0.0124000003561377,5.859281063079834,0.0495419986546039,69.88226318359375,0.0517251715064048,0.0960760340094566,0.02,0.05,0.05,0.1,mix,box_count_threshold,boxwise,lac,multiplicative
18.855199813842773,0.0124000003561377,6.12105131149292,0.0432265438139438,40.7515869140625,0.041781697422266,0.078108474612236,0.02,0.05,0.05,0.1,mix,box_count_threshold,boxwise,aps,additive
18.855199813842773,0.0124000003561377,5.859281063079834,0.0495419986546039,40.7515869140625,0.041781697422266,0.0869381576776504,0.02,0.05,0.05,0.1,mix,box_count_threshold,boxwise,aps,multiplicative
11.710399627685549,0.0189005509018898,5.458196640014648,0.0456000007688999,67.58087158203125,0.0531331039965152,0.0935816764831543,0.02,0.05,0.05,0.1,mix,box_count_recall,thresholded,lac,additive
11.710399627685549,0.0189005509018898,6.961021900177002,0.0544000007212162,67.58087158203125,0.0531331039965152,0.1060542240738868,0.02,0.05,0.05,0.1,mix,box_count_recall,thresholded,lac,multiplicative
11.710399627685549,0.0189005509018898,5.458196640014648,0.0456000007688999,41.664432525634766,0.0416388288140296,0.083462156355381,0.02,0.05,0.05,0.1,mix,box_count_recall,thresholded,aps,additive
11.710399627685549,0.0189005509018898,6.961021900177002,0.0544000007212162,41.664432525634766,0.0416388288140296,0.0948132202029228,0.02,0.05,0.05,0.1,mix,box_count_recall,thresholded,aps,multiplicative
11.710399627685549,0.0189005509018898,3.866952419281006,0.048709213733673,67.58087158203125,0.0531331039965152,0.0935064852237701,0.02,0.05,0.05,0.1,mix,box_count_recall,pixelwise,lac,additive
