Confidence Set Size (Mean),Confidence Risk (Mean),Localization Set Size (Mean),Localization Risk (Mean),Classification Set Size (Mean),Classification Risk (Mean),Global Risk (Mean),Confidence Alpha,Localization Alpha,Classification Alpha,Global Alpha,Matching Function,Confidence Method,Localization Method,Classification Prediction Set,Localization Prediction Set
26.469999313354492,0.018400000408291817,4.886544227600098,0.04560000076889992,14.601300239562988,0.046049490571022034,0.08509892225265503,0.02,0.05,0.05,0.1,mix,box_count_threshold,thresholded,lac,additive
26.469999313354492,0.018400000408291817,2.7191848754882812,0.05040000006556511,14.601300239562988,0.046049490571022034,0.09371335804462433,0.02,0.05,0.05,0.1,mix,box_count_threshold,thresholded,lac,multiplicative
26.469999313354492,0.018400000408291817,4.886544227600098,0.042399998754262924,19.527606964111328,0.04040618985891342,0.0759730190038681,0.02,0.05,0.05,0.1,mix,box_count_threshold,thresholded,aps,additive
26.469999313354492,0.018400000408291817,2.3063039779663086,0.04320000112056732,10.642183303833008,0.04997454583644867,0.08901216089725494,0.02,0.05,0.05,0.1,mix,box_count_threshold,thresholded,aps,multiplicative
26.469999313354492,0.018400000408291817,1.619381070137024,0.047917723655700684,8.803956985473633,0.048624008893966675,0.08475171029567719,0.02,0.05,0.05,0.1,mix,box_count_threshold,pixelwise,lac,additive
26.469999313354492,0.018400000408291817,1.3833937644958496,0.04825908690690994,8.803956985473633,0.048624008893966675,0.08758552372455597,0.02,0.05,0.05,0.1,mix,box_count_threshold,pixelwise,lac,multiplicative
26.469999313354492,0.018400000408291817,1.619381070137024,0.047917723655700684,10.642059326171875,0.04997454583644867,0.08565396815538406,0.02,0.05,0.05,0.1,mix,box_count_threshold,pixelwise,aps,additive
26.469999313354492,0.018400000408291817,1.3833937644958496,0.04825908690690994,10.642059326171875,0.04997454583644867,0.08853258937597275,0.02,0.05,0.05,0.1,mix,box_count_threshold,pixelwise,aps,multiplicative
26.469999313354492,0.018400000408291817,4.1988301277160645,0.04787565395236015,8.803956985473633,0.048624008893966675,0.08252410590648651,0.02,0.05,0.05,0.1,mix,box_count_threshold,boxwise,lac,additive
26.469999313354492,0.018400000408291817,2.233442544937134,0.04542994126677513,8.803956985473633,0.048624008893966675,0.08590350300073624,0.02,0.05,0.05,0.1,mix,box_count_threshold,boxwise,lac,multiplicative
26.469999313354492,0.018400000408291817,4.1988301277160645,0.04787565395236015,10.642059326171875,0.04997454583644867,0.0835137665271759,0.02,0.05,0.05,0.1,mix,box_count_threshold,boxwise,aps,additive
26.469999313354492,0.018400000408291817,2.233442544937134,0.04542994126677513,10.642059326171875,0.04997454583644867,0.0869598239660263,0.02,0.05,0.05,0.1,mix,box_count_threshold,boxwise,aps,multiplicative
18.99679946899414,0.017647622153162956,5.000695705413818,0.04399999976158142,13.304224967956543,0.04938165098428726,0.08472847193479538,0.02,0.05,0.05,0.1,mix,box_count_recall,thresholded,lac,additive
18.99679946899414,0.017647622153162956,2.522857427597046,0.03880000114440918,13.304224967956543,0.04938165098428726,0.0838405191898346,0.02,0.05,0.05,0.1,mix,box_count_recall,thresholded,lac,multiplicative
18.99679946899414,0.017647622153162956,5.000695705413818,0.04399999976158142,16.463733673095703,0.04830523580312729,0.08411872386932373,0.02,0.05,0.05,0.1,mix,box_count_recall,thresholded,aps,additive
18.99679946899414,0.017647622153162956,2.522857427597046,0.03880000114440918,16.46375846862793,0.04830523580312729,0.08303076773881912,0.02,0.05,0.05,0.1,mix,box_count_recall,thresholded,aps,multiplicative
18.99679946899414,0.017647622153162956,1.9123504161834717,0.04699016734957695,13.304224967956543,0.04938165098428726,0.08357879519462585,0.02,0.05,0.05,0.1,mix,box_count_recall,pixelwise,lac,additive
18.99679946899414,0.017647622153162956,1.576421856880188,0.045545171946287155,13.304224967956543,0.04938165098428726,0.08545925468206406,0.02,0.05,0.05,0.1,mix,box_count_recall,pixelwise,lac,multiplicative
18.99679946899414,0.017647622153162956,1.9123504161834717,0.04699016734957695,16.463729858398438,0.04830523580312729,0.08340384811162949,0.02,0.05,0.05,0.1,mix,box_count_recall,pixelwise,aps,additive
18.99679946899414,0.017647622153162956,1.576421856880188,0.045545171946287155,16.46375274658203,0.04830523580312729,0.08514156192541122,0.02,0.05,0.05,0.1,mix,box_count_recall,pixelwise,aps,multiplicative
18.99679946899414,0.017647622153162956,4.575592517852783,0.04576389491558075,13.304224967956543,0.04938165098428726,0.08091985434293747,0.02,0.05,0.05,0.1,mix,box_count_recall,boxwise,lac,additive
18.99679946899414,0.017647622153162956,2.45005464553833,0.042973604053258896,13.304224967956543,0.04938165098428726,0.08462013304233551,0.02,0.05,0.05,0.1,mix,box_count_recall,boxwise,lac,multiplicative
18.99679946899414,0.017647622153162956,4.575592517852783,0.04576389491558075,16.463729858398438,0.04830523580312729,0.0806056335568428,0.02,0.05,0.05,0.1,mix,box_count_recall,boxwise,aps,additive
18.99679946899414,0.017647622153162956,2.45005464553833,0.042973604053258896,16.46375274658203,0.04830523580312729,0.08424266427755356,0.02,0.05,0.05,0.1,mix,box_count_recall,boxwise,aps,multiplicative
26.469999313354492,0.018400000408291817,3.474367618560791,0.051600001752376556,46.12159729003906,0.0527593269944191,0.10203266888856888,0.02,0.05,0.05,0.1,hausdorff,box_count_threshold,thresholded,lac,additive
26.469999313354492,0.018400000408291817,1.6262648105621338,0.04520000144839287,46.12159729003906,0.0527593269944191,0.09674561768770218,0.02,0.05,0.05,0.1,hausdorff,box_count_threshold,thresholded,lac,multiplicative
