Confidence Set Size (Mean),Confidence Risk (Mean),Localization Set Size (Mean),Localization Risk (Mean),Classification Set Size (Mean),Classification Risk (Mean),Global Risk (Mean),Confidence Alpha,Localization Alpha,Classification Alpha,Global Alpha,Matching Function,Confidence Method,Localization Method,Classification Prediction Set,Localization Prediction Set
25.58839988708496,0.02199999988079071,4.564603328704834,0.047200001776218414,12.771944046020508,0.04488402232527733,0.08578148484230042,0.02,0.05,0.05,0.1,mix,box_count_threshold,thresholded,lac,additive
25.58839988708496,0.02199999988079071,2.7169981002807617,0.03720000013709068,12.771944046020508,0.04488402232527733,0.07909654825925827,0.02,0.05,0.05,0.1,mix,box_count_threshold,thresholded,lac,multiplicative
25.58839988708496,0.02199999988079071,4.564603328704834,0.041600000113248825,17.939584732055664,0.03697018325328827,0.07269129157066345,0.02,0.05,0.05,0.1,mix,box_count_threshold,thresholded,aps,additive
25.58839988708496,0.02199999988079071,2.20737886428833,0.04039999842643738,11.117156028747559,0.045862071216106415,0.08181294053792953,0.02,0.05,0.05,0.1,mix,box_count_threshold,thresholded,aps,multiplicative
25.58839988708496,0.02199999988079071,1.4788246154785156,0.04882859066128731,8.227984428405762,0.04641313850879669,0.08297806978225708,0.02,0.05,0.05,0.1,mix,box_count_threshold,pixelwise,lac,additive
25.58839988708496,0.02199999988079071,1.333746075630188,0.04738201946020126,8.227984428405762,0.04641313850879669,0.08347202092409134,0.02,0.05,0.05,0.1,mix,box_count_threshold,pixelwise,lac,multiplicative
25.58839988708496,0.02199999988079071,1.4788246154785156,0.04882859066128731,11.117159843444824,0.045862071216106415,0.0828966349363327,0.02,0.05,0.05,0.1,mix,box_count_threshold,pixelwise,aps,additive
25.58839988708496,0.02199999988079071,1.333746075630188,0.04738201946020126,11.117095947265625,0.045862071216106415,0.08353745192289352,0.02,0.05,0.05,0.1,mix,box_count_threshold,pixelwise,aps,multiplicative
25.58839988708496,0.02199999988079071,3.8942086696624756,0.046386510133743286,8.227984428405762,0.04641313850879669,0.07988534867763519,0.02,0.05,0.05,0.1,mix,box_count_threshold,boxwise,lac,additive
25.58839988708496,0.02199999988079071,2.08604097366333,0.04675792157649994,8.227984428405762,0.04641313850879669,0.08381316065788269,0.02,0.05,0.05,0.1,mix,box_count_threshold,boxwise,lac,multiplicative
25.58839988708496,0.02199999988079071,3.8942086696624756,0.046386510133743286,11.117159843444824,0.045862071216106415,0.07942088693380356,0.02,0.05,0.05,0.1,mix,box_count_threshold,boxwise,aps,additive
25.58839988708496,0.02199999988079071,2.08604097366333,0.04675792157649994,11.117146492004395,0.045862071216106415,0.08374420553445816,0.02,0.05,0.05,0.1,mix,box_count_threshold,boxwise,aps,multiplicative
17.777999877929688,0.018515676259994507,4.783289909362793,0.046799998730421066,12.005484580993652,0.04707131162285805,0.08473227173089981,0.02,0.05,0.05,0.1,mix,box_count_recall,thresholded,lac,additive
17.777999877929688,0.018515676259994507,2.616764783859253,0.03240000084042549,12.005484580993652,0.04707131162285805,0.07443681359291077,0.02,0.05,0.05,0.1,mix,box_count_recall,thresholded,lac,multiplicative
17.777999877929688,0.018515676259994507,4.783289909362793,0.046799998730421066,14.954548835754395,0.04680051654577255,0.0843774676322937,0.02,0.05,0.05,0.1,mix,box_count_recall,thresholded,aps,additive
17.777999877929688,0.018515676259994507,2.616764783859253,0.03240000084042549,14.954520225524902,0.04680051654577255,0.0743296667933464,0.02,0.05,0.05,0.1,mix,box_count_recall,thresholded,aps,multiplicative
17.777999877929688,0.018515676259994507,1.7924336194992065,0.04750394448637962,12.005484580993652,0.04707131162285805,0.08068318665027618,0.02,0.05,0.05,0.1,mix,box_count_recall,pixelwise,lac,additive
17.777999877929688,0.018515676259994507,1.5502804517745972,0.0443233996629715,12.005484580993652,0.04707131162285805,0.08017172664403915,0.02,0.05,0.05,0.1,mix,box_count_recall,pixelwise,lac,multiplicative
17.777999877929688,0.018515676259994507,1.7924336194992065,0.04750394448637962,14.954548835754395,0.04680051654577255,0.08089010417461395,0.02,0.05,0.05,0.1,mix,box_count_recall,pixelwise,aps,additive
17.777999877929688,0.018515676259994507,1.5502804517745972,0.0443233996629715,14.954520225524902,0.04680051654577255,0.08045515418052673,0.02,0.05,0.05,0.1,mix,box_count_recall,pixelwise,aps,multiplicative
17.777999877929688,0.018515676259994507,4.1996636390686035,0.04757540300488472,12.005484580993652,0.04707131162285805,0.07977676391601562,0.02,0.05,0.05,0.1,mix,box_count_recall,boxwise,lac,additive
17.777999877929688,0.018515676259994507,2.447096824645996,0.04318857565522194,12.005484580993652,0.04707131162285805,0.08006571233272552,0.02,0.05,0.05,0.1,mix,box_count_recall,boxwise,lac,multiplicative
17.777999877929688,0.018515676259994507,4.1996636390686035,0.04757540300488472,14.954548835754395,0.04680051654577255,0.07994982600212097,0.02,0.05,0.05,0.1,mix,box_count_recall,boxwise,aps,additive
17.777999877929688,0.018515676259994507,2.447096824645996,0.04318857565522194,14.954520225524902,0.04680051654577255,0.08038915693759918,0.02,0.05,0.05,0.1,mix,box_count_recall,boxwise,aps,multiplicative
25.58839988708496,0.02199999988079071,3.152088165283203,0.04919999837875366,42.56287384033203,0.05389014258980751,0.1001354455947876,0.02,0.05,0.05,0.1,hausdorff,box_count_threshold,thresholded,lac,additive
25.58839988708496,0.02199999988079071,1.552154302597046,0.04560000076889992,42.56287384033203,0.05389014258980751,0.09711290150880814,0.02,0.05,0.05,0.1,hausdorff,box_count_threshold,thresholded,lac,multiplicative
